524.135: [GC [PSYoungGen: 229504K->544K(222272K)] 540670K->311738K(571840K), 0.0151830 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
529.934: [GC [PSYoungGen: 222240K->528K(215360K)] 533434K->311770K(564928K), 0.0113260 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
535.666: [GC [PSYoungGen: 215312K->576K(208704K)] 526554K->311826K(558272K), 0.0113470 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
541.387: [GC [PSYoungGen: 208704K->560K(202368K)] 519954K->311810K(551936K), 0.0109040 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
547.075: [GC [PSYoungGen: 202352K->560K(196288K)] 513602K->311810K(545856K), 0.0146790 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
552.737: [GC [PSYoungGen: 196272K->336K(190272K)] 507522K->311830K(539840K), 0.0212040 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
558.380: [GC [PSYoungGen: 190224K->576K(184896K)] 501718K->312078K(534464K), 0.0107630 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
559.070: [GC [PSYoungGen: 184896K->288K(179264K)] 496398K->312106K(528832K), 0.0115060 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
564.671: [GC [PSYoungGen: 179232K->608K(174464K)] 491050K->312426K(524032K), 0.0152830 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
570.272: [GC [PSYoungGen: 174432K->336K(284864K)] 486250K->312430K(634432K), 0.0135580 secs] [Times: user=0.05 sys=0.00, real=0.07 secs] 
576.306: [GC [PSYoungGen: 284816K->576K(275328K)] 596910K->312674K(624896K), 0.0113040 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
582.272: [GC [PSYoungGen: 275328K->576K(266048K)] 587426K->312674K(615616K), 0.0117650 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
588.337: [GC [PSYoungGen: 266048K->576K(257216K)] 578146K->312674K(606784K), 0.0122830 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
594.225: [GC [PSYoungGen: 257216K->576K(248768K)] 569314K->312674K(598336K), 0.0201360 secs] [Times: user=0.07 sys=0.00, real=1.38 secs] 
601.428: [GC [PSYoungGen: 248768K->560K(240704K)] 560866K->312662K(590272K), 0.0118120 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
607.254: [GC [PSYoungGen: 240688K->448K(232832K)] 552790K->312667K(582400K), 0.0110770 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
613.049: [GC [PSYoungGen: 232832K->592K(225600K)] 545051K->312815K(575168K), 0.0120670 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
618.818: [GC [PSYoungGen: 225552K->512K(218368K)] 537775K->312790K(567936K), 0.0111550 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
624.525: [GC [PSYoungGen: 218368K->688K(211776K)] 530646K->312966K(561344K), 0.0128010 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
630.054: [GC [PSYoungGen: 211760K->384K(204992K)] 524038K->313154K(554560K), 0.0198530 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
635.753: [GC [PSYoungGen: 204992K->576K(198976K)] 517762K->313430K(548544K), 0.0117250 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
636.438: [GC [PSYoungGen: 198976K->336K(192832K)] 511830K->313466K(542400K), 0.0120890 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
642.150: [GC [PSYoungGen: 192784K->544K(187328K)] 505914K->313722K(536896K), 0.0113480 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
647.799: [GC [PSYoungGen: 187296K->576K(181888K)] 500474K->313762K(531456K), 0.0131120 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
653.424: [GC [PSYoungGen: 181888K->336K(176448K)] 495074K->313770K(526016K), 0.0114390 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
659.006: [GC [PSYoungGen: 176400K->416K(280320K)] 489834K->314022K(629888K), 0.0114500 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
664.993: [GC [PSYoungGen: 280288K->560K(270976K)] 593894K->314166K(620544K), 0.0112500 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
670.949: [GC [PSYoungGen: 270960K->592K(261952K)] 584566K->314198K(611520K), 0.0119980 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
676.878: [GC [PSYoungGen: 261904K->592K(253312K)] 575510K->314206K(602880K), 0.0110740 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
682.779: [GC [PSYoungGen: 253264K->448K(244864K)] 566878K->314170K(594432K), 0.0107510 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
688.617: [GC [PSYoungGen: 244864K->592K(237120K)] 558586K->314318K(586688K), 0.0112040 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
694.443: [GC [PSYoungGen: 237072K->560K(229504K)] 550798K->314294K(579072K), 0.0222490 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
700.325: [GC [PSYoungGen: 229488K->336K(222080K)] 543222K->314310K(571648K), 0.0141320 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
706.104: [GC [PSYoungGen: 222032K->576K(215360K)] 536006K->314562K(564928K), 0.0110740 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
711.855: [GC [PSYoungGen: 215360K->576K(208704K)] 529346K->314562K(558272K), 0.0151560 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
717.590: [GC [PSYoungGen: 208704K->448K(202240K)] 522690K->314546K(551808K), 0.0117030 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
718.319: [GC [PSYoungGen: 202240K->336K(196096K)] 516338K->314666K(545664K), 0.0121710 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
724.082: [GC [PSYoungGen: 196048K->544K(190464K)] 510378K->314918K(540032K), 0.0170060 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
